Date : 2024-05-23 15:59:29
Directory : c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new
Total : 1556 files,  252208 codes, 52786 comments, 47210 blanks, all 352204 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU.h                                                     | C++          |        569 |        251 |        104 |        924 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLUImpl.h                                                 | C++          |         47 |         12 |          8 |         67 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_Memory.h                                              | C++          |        132 |         68 |         27 |        227 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_Structs.h                                             | C++          |         34 |         69 |          8 |        111 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_SupernodalMatrix.h                                    | C++          |        249 |         78 |         49 |        376 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_Utils.h                                               | C++          |         49 |         20 |         12 |         81 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_column_bmod.h                                         | C++          |         89 |         70 |         23 |        182 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_column_dfs.h                                          | C++          |         88 |         67 |         25 |        180 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_copy_to_ucol.h                                        | C++          |         53 |         43 |         12 |        108 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_gemm_kernel.h                                         | C++          |        216 |         29 |         36 |        281 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_heap_relax_snode.h                                    | C++          |         72 |         44 |         11 |        127 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_kernel_bmod.h                                         | C++          |         86 |         30 |         15 |        131 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_panel_bmod.h                                          | C++          |        132 |         62 |         30 |        224 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_panel_dfs.h                                           | C++          |        137 |         86 |         36 |        259 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_pivotL.h                                              | C++          |         63 |         62 |         13 |        138 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_pruneL.h                                              | C++          |         66 |         58 |         13 |        137 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseLU\SparseLU_relax_snode.h                                         | C++          |         34 |         40 |         10 |         84 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SparseQR\SparseQR.h                                                     | C++          |        479 |        195 |         85 |        759 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\StlSupport\StdDeque.h                                                   | C++          |         88 |         17 |         12 |        117 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\StlSupport\StdList.h                                                    | C++          |         79 |         15 |         13 |        107 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\StlSupport\StdVector.h                                                  | C++          |         99 |         21 |         12 |        132 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\StlSupport\details.h                                                    | C++          |         57 |         13 |         15 |         85 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\SuperLUSupport\SuperLUSupport.h                                         | C++          |        750 |        117 |        159 |      1,026 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\UmfPackSupport\UmfPackSupport.h                                         | C++          |        439 |         94 |        110 |        643 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\Image.h                                                            | C++          |         57 |         12 |         14 |         83 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\Kernel.h                                                           | C++          |         52 |         14 |         14 |         80 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\RealSvd2x2.h                                                       | C++          |         36 |         11 |          9 |         56 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\blas.h                                                             | C++          |        370 |          2 |         69 |        441 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\lapack.h                                                           | C++          |        128 |          0 |         25 |        153 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\lapacke.h                                                          | C++          |     15,567 |         64 |        662 |     16,293 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\misc\lapacke_mangling.h                                                 | C++          |         14 |          0 |          4 |         18 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\ArrayCwiseBinaryOps.h                                           | C++          |        147 |        181 |         31 |        359 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\ArrayCwiseUnaryOps.h                                            | C++          |        313 |        329 |         55 |        697 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\BlockMethods.h                                                  | C++          |        697 |        637 |        109 |      1,443 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\CommonCwiseBinaryOps.h                                          | C++          |         41 |         63 |         12 |        116 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\CommonCwiseUnaryOps.h                                           | C++          |         78 |         82 |         18 |        178 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\IndexedViewMethods.h                                            | C++          |        167 |         53 |         43 |        263 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\MatrixCwiseBinaryOps.h                                          | C++          |         61 |         79 |         13 |        153 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\MatrixCwiseUnaryOps.h                                           | C++          |         30 |         54 |         12 |         96 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\Eigen\src\plugins\ReshapedMethods.h                                               | C++          |         79 |         51 |         20 |        150 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\README.md                                                                         | Markdown     |          3 |          0 |          3 |          6 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\BenchSparseUtil.h                                                           | C++          |        129 |          2 |         19 |        150 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\BenchTimer.h                                                                | C++          |        150 |         25 |         25 |        200 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\BenchUtil.h                                                                 | C++          |         80 |          0 |         13 |         93 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\analyze-blocking-sizes.cpp                                                  | C++          |        786 |         14 |         77 |        877 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\basicbenchmark.cpp                                                          | C++          |         23 |          3 |         10 |         36 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\basicbenchmark.h                                                            | C++          |         53 |          0 |         11 |         64 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchBlasGemm.cpp                                                           | C++          |        175 |         13 |         32 |        220 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchCholesky.cpp                                                           | C++          |        106 |         12 |         24 |        142 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchEigenSolver.cpp                                                        | C++          |        162 |         21 |         30 |        213 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchFFT.cpp                                                                | C++          |         86 |          8 |         22 |        116 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchGeometry.cpp                                                           | C++          |        116 |          0 |         19 |        135 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchVecAdd.cpp                                                             | C++          |         92 |         28 |         16 |        136 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\bench_gemm.cpp                                                              | C++          |        308 |         13 |         55 |        376 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\bench_move_semantics.cpp                                                    | C++          |         37 |          8 |         13 |         58 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\bench_multi_compilers.sh                                                    | Shell Script |         18 |          5 |          6 |         29 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\bench_norm.cpp                                                              | C++          |        303 |         18 |         40 |        361 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\bench_reverse.cpp                                                           | C++          |         59 |         13 |         13 |         85 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\bench_sum.cpp                                                               | C++          |         17 |          0 |          2 |         19 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchmark-blocking-sizes.cpp                                                | C++          |        522 |         61 |         95 |        678 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchmark.cpp                                                               | C++          |         31 |          1 |          8 |         40 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchmarkSlice.cpp                                                          | C++          |         30 |          1 |          8 |         39 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchmarkX.cpp                                                              | C++          |         28 |          1 |          8 |         37 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\benchmarkXcwise.cpp                                                         | C++          |         28 |          1 |          7 |         36 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_aat_product.hh                                           | C++          |         71 |         27 |         48 |        146 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_ata_product.hh                                           | C++          |         71 |         27 |         48 |        146 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_atv_product.hh                                           | C++          |         79 |         22 |         34 |        135 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_axpby.hh                                                 | C++          |         75 |         26 |         27 |        128 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_axpy.hh                                                  | C++          |         74 |         27 |         39 |        140 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_cholesky.hh                                              | C++          |         65 |         36 |         28 |        129 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_ger.hh                                                   | C++          |         81 |         21 |         27 |        129 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_hessenberg.hh                                            | C++          |        126 |         52 |         56 |        234 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_lu_decomp.hh                                             | C++          |         61 |         35 |         29 |        125 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_lu_solve.hh                                              | C++          |         65 |         29 |         43 |        137 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_matrix_matrix_product.hh                                 | C++          |         82 |         27 |         42 |        151 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_matrix_matrix_product_bis.hh                             | C++          |         77 |         27 |         49 |        153 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_matrix_vector_product.hh                                 | C++          |         81 |         27 |         46 |        154 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_partial_lu.hh                                            | C++          |         60 |         37 |         29 |        126 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_rot.hh                                                   | C++          |         63 |         28 |         26 |        117 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_symv.hh                                                  | C++          |         81 |         26 |         33 |        140 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_syr2.hh                                                  | C++          |         79 |         27 |         28 |        134 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_trisolve.hh                                              | C++          |         80 |         27 |         31 |        138 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_trisolve_matrix.hh                                       | C++          |         84 |         38 |         44 |        166 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\action_trmm.hh                                                  | C++          |         84 |         38 |         44 |        166 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\actions\basic_actions.hh                                                | C++          |         13 |          2 |          7 |         22 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindACML.cmake                                                    | CMake        |         42 |          0 |         10 |         52 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindATLAS.cmake                                                   | CMake        |         21 |          0 |         11 |         32 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindBLAZE.cmake                                                   | CMake        |         23 |          0 |          9 |         32 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindBlitz.cmake                                                   | CMake        |         33 |          0 |          8 |         41 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindCBLAS.cmake                                                   | CMake        |         29 |          0 |          7 |         36 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindGMM.cmake                                                     | CMake        |         13 |          0 |          5 |         18 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindMKL.cmake                                                     | CMake        |         51 |          0 |         15 |         66 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindMTL4.cmake                                                    | CMake        |         23 |          0 |          9 |         32 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindOPENBLAS.cmake                                                | CMake        |         12 |          0 |          6 |         18 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindPackageHandleStandardArgs.cmake                               | CMake        |         54 |          0 |          7 |         61 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\FindTvmet.cmake                                                   | CMake        |         24 |          0 |          9 |         33 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\cmake\MacroOptionalAddSubdirectory.cmake                                | CMake        |         28 |          0 |          4 |         32 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\gnuplot_common_settings.hh                                         | C++          |         86 |          0 |          2 |         88 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\mean.cxx                                                           | C++          |        110 |         20 |         53 |        183 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\mk_gnuplot_script.sh                                               | Shell Script |         49 |          3 |         17 |         69 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\mk_mean_script.sh                                                  | Shell Script |         29 |          5 |         19 |         53 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\mk_new_gnuplot.sh                                                  | Shell Script |         34 |          5 |         16 |         55 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\regularize.cxx                                                     | C++          |         70 |         24 |         38 |        132 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\smooth.cxx                                                         | C++          |         98 |         28 |         73 |        199 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\data\smooth_all.sh                                                      | Shell Script |         56 |          2 |         11 |         69 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\bench.hh                                                  | C++          |        111 |         35 |         23 |        169 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\bench_parameter.hh                                        | C++          |         17 |         33 |          4 |         54 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\btl.hh                                                    | C++          |        188 |         27 |         28 |        243 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\init\init_function.hh                                     | C++          |         27 |         19 |          9 |         55 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\init\init_matrix.hh                                       | C++          |         30 |         27 |          8 |         65 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\init\init_vector.hh                                       | C++          |         10 |         23 |          5 |         38 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\static\bench_static.hh                                    | C++          |         29 |         24 |         28 |         81 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\static\intel_bench_fixed_size.hh                          | C++          |         27 |         21 |         19 |         67 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\static\static_size_generator.hh                           | C++          |         26 |         21 |         11 |         58 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\STL_perf_analyzer.hh                               | C++          |         40 |         21 |         22 |         83 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\STL_timer.hh                                       | C++          |         45 |         31 |          3 |         79 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\mixed_perf_analyzer.hh                             | C++          |         36 |         20 |         18 |         74 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\portable_perf_analyzer.hh                          | C++          |         64 |         25 |         15 |        104 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\portable_perf_analyzer_old.hh                      | C++          |         66 |         40 |         29 |        135 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\portable_timer.hh                                  | C++          |        106 |         27 |         55 |        188 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\x86_perf_analyzer.hh                               | C++          |         55 |         25 |         29 |        109 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\timers\x86_timer.hh                                       | C++          |        137 |         27 |         83 |        247 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\utils\size_lin_log.hh                                     | C++          |         26 |         22 |         23 |         71 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\utils\size_log.hh                                         | C++          |         19 |         23 |         13 |         55 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\utils\utilities.h                                         | C++          |         55 |         13 |         23 |         91 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\generic_bench\utils\xy_file.hh                                          | C++          |         39 |         23 |         14 |         76 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\BLAS\blas.h                                                        | C++          |        592 |          2 |         82 |        676 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\BLAS\blas_interface.hh                                             | C++          |         39 |         26 |         19 |         84 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\BLAS\blas_interface_impl.hh                                        | C++          |        116 |          0 |         32 |        148 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\BLAS\c_interface_base.h                                            | C++          |         57 |          0 |         17 |         74 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\BLAS\main.cpp                                                      | C++          |         36 |         21 |         17 |         74 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\STL\STL_interface.hh                                               | C++          |        187 |         19 |         39 |        245 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\STL\main.cpp                                                       | C++          |         18 |         19 |          6 |         43 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blaze\blaze_interface.hh                                           | C++          |         81 |         30 |         31 |        142 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blaze\main.cpp                                                     | C++          |         16 |         17 |          8 |         41 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blitz\blitz_LU_solve_interface.hh                                  | C++          |        114 |         39 |         40 |        193 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blitz\blitz_interface.hh                                           | C++          |         93 |         30 |         25 |        148 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blitz\btl_blitz.cpp                                                | C++          |         22 |         20 |         10 |         52 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blitz\btl_tiny_blitz.cpp                                           | C++          |         14 |         19 |          6 |         39 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\blitz\tiny_blitz_interface.hh                                      | C++          |         64 |         19 |         24 |        107 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen2\btl_tiny_eigen2.cpp                                         | C++          |         23 |         17 |          7 |         47 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen2\eigen2_interface.hh                                         | C++          |        109 |         22 |         38 |        169 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen2\main_adv.cpp                                                | C++          |         19 |         19 |          7 |         45 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen2\main_linear.cpp                                             | C++          |         11 |         17 |          7 |         35 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen2\main_matmat.cpp                                             | C++          |         11 |         19 |          6 |         36 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen2\main_vecmat.cpp                                             | C++          |         11 |         20 |          6 |         37 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen3\btl_tiny_eigen3.cpp                                         | C++          |         23 |         17 |          7 |         47 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen3\eigen3_interface.hh                                         | C++          |        164 |         30 |         49 |        243 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen3\main_adv.cpp                                                | C++          |         19 |         19 |          7 |         45 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen3\main_linear.cpp                                             | C++          |         12 |         17 |          7 |         36 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen3\main_matmat.cpp                                             | C++          |         13 |         17 |          6 |         36 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\bench\btl\libs\eigen3\main_vecmat.cpp                                             | C++          |         14 |         17 |          6 |         37 |
